n,determinant,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
64,6.7336026352862854e10,true,707934,135925,402177,156241,642,127,0.03899407386779785
65,-2.7285221221247923e8,true,2365489,488873,1461010,568010,644,129,0.15669488906860352
66,-2.1641775587212273e10,true,3546945,740981,2217285,862116,650,131,0.23492002487182617
67,-1.876703239688165e10,true,3714519,776999,2325290,904117,656,133,0.24992918968200684
68,4.88314878855758e11,true,4151264,870643,2606135,1013332,666,135,0.2775101661682129
69,-1.5010489426266946e12,true,4176534,875791,2621530,1019318,672,137,0.2791941165924072
70,-5.882511019770403e12,true,4237787,889173,2661589,1034894,682,139,0.2811429500579834
71,1.157378113169662e12,true,4299006,902555,2701648,1050470,692,141,0.2848529815673828
72,-8.799404173089744e11,true,4398096,924171,2766371,1075636,706,143,0.29285597801208496
73,4.589556739381208e12,true,4411430,924909,2768536,1076477,712,145,0.2980828285217285
74,9.354434526897701e12,true,4424841,926825,2774197,1078676,722,147,0.2960398197174072
75,1.1526326327649502e15,true,4433086,928741,2779858,1080875,732,149,0.29453086853027344
76,-1.2700047078761156e16,true,4447166,931835,2789015,1084432,746,151,0.30029797554016113
77,-4.0225384418178335e15,true,4457501,933751,2794676,1086631,756,153,0.29567503929138184
78,1.2264061198286212e16,true,4470883,936845,2803833,1090188,770,155,0.29658007621765137
79,-7.541961139184609e14,true,4484227,939939,2812990,1093745,784,157,0.30264711380004883
80,9.753575451034491e16,true,4502722,944211,2825643,1098660,802,159,0.29897403717041016
81,1.2451142196228474e16,true,4548304,944319,2825918,1098766,808,161,0.3002440929412842
82,-9.16293598238542e16,true,4578833,944597,2826665,1099054,818,163,0.3036201000213623
83,1.305883800079268e18,true,4582862,944875,2827412,1099342,828,165,0.29875802993774414
84,-2.0708572809725363e17,true,4593454,945323,2828631,1099812,842,167,0.3038451671600342
85,-4.244781859620052e16,true,4596817,945601,2829378,1100100,852,169,0.29912686347961426
86,-1.1545517990605282e20,true,4598915,946049,2830597,1100570,866,171,0.29898691177368164
87,-1.0879001306727186e19,true,4600971,946497,2831816,1101040,880,173,0.30417299270629883
88,3.2318412289796923e19,true,4604082,947115,2833507,1101692,898,175,0.2995569705963135
89,1.5527225838108305e20,true,4617485,947393,2834254,1101980,908,177,0.3044619560241699
90,9.02404749049858e19,true,4625397,947841,2835473,1102450,922,179,0.2996368408203125
91,2.439647355253075e20,true,4627055,948289,2836692,1102920,936,181,0.29969096183776855
92,9.513699098816118e21,true,4630204,948907,2838383,1103572,954,183,0.3049330711364746
93,1.9882224747884105e22,true,4634380,949355,2839602,1104042,968,185,0.3003687858581543
94,2.7356736864452394e22,true,4636683,949973,2841293,1104694,986,187,0.30536890029907227
95,8.056004391906555e22,true,4638940,950591,2842984,1105346,1004,189,0.30069899559020996
96,-4.842330189361831e22,true,4641860,951379,2845147,1106180,1026,191,0.300739049911499
97,-2.532187750862281e24,true,4846716,951397,2845152,1106181,1032,193,0.30440211296081543
98,-4.286168726800053e23,true,4989609,951441,2845197,1106196,1042,195,0.299130916595459
99,-7.811458320727131e23,true,5008524,951485,2845242,1106211,1052,197,0.3028299808502197
100,-2.103135189666592e25,true,5059002,951555,2845327,1106240,1066,199,0.29813098907470703
101,-1.8298945989539206e26,true,5063909,951599,2845372,1106255,1076,201,0.2982819080352783
102,2.7981325882878473e27,true,5069943,951669,2845457,1106284,1090,203,0.3032670021057129
103,-2.586141081051827e25,true,5075927,951739,2845542,1106313,1104,205,0.29811692237854004
104,-1.0600788070226511e27,true,5085790,951835,2845667,1106356,1122,207,0.2982299327850342
105,-3.9766753808442566e27,true,5100573,951879,2845712,1106371,1132,209,0.30292606353759766
106,-5.041094774824601e27,true,5108513,951949,2845797,1106400,1146,211,0.30077695846557617
107,7.382234486995465e28,true,5109111,952019,2845882,1106429,1160,213,0.30063390731811523
108,-7.048316663385588e28,true,5111072,952115,2846007,1106472,1178,215,0.30362391471862793
109,7.063414481753318e29,true,5114616,952185,2846092,1106501,1192,217,0.2982950210571289
110,-5.8802015813059755e29,true,5115583,952281,2846217,1106544,1210,219,0.2982900142669678
111,-2.0485485977788433e30,true,5116496,952377,2846342,1106587,1228,221,0.303056001663208
112,3.611933290714607e31,true,5117800,952499,2846507,1106644,1250,223,0.29808902740478516
113,-3.339898417808147e30,true,5179841,952543,2846552,1106659,1260,225,0.2981240749359131
114,1.7746304737608646e32,true,5220485,952613,2846637,1106688,1274,227,0.3034498691558838
